Nama Produk ,Produksi,Ukuran/Berat,Satuan,Kalori Total (kkal),% AKG_Kalori,Gula Total (gr),Konversi Gula Per Sendok Makan,% Rekomendasi,Karbohidrat Total (gr),% AKG_Karbohidrat,Lemak Total (gr),% AKG_Lemak,Lemak Jenuh (gr),% AKG_Lemak Jenuh,Protein,% AKG_Protein,Garam (mg),% AKG_Garam,Kode Barcode,Link Gambar Barcode,Link Gambar Produk
Cimory Yogurt Drink Low Fat,PT. Cisarua Mountain Dairy Tbk.,240,ml,190,"8,837209302",25,2,50,39,12,"2,5",3,1,5,4,7,90,6,8 993200 664993,,
Frestea Rasa Madu,PT. COCA-COLA Bottling Indonesia,350,ml,112,"5,209302326","26,6","2,128","53,2","26,6","8,4",0,0,0,0,0,0,14,"2,8",8 992761 166205,,
Frestea Rasa Apel,PT. COCA-COLA Bottling Indonesia,350,ml,112,"5,209302326","26,6","2,128","53,2","26,6","8,4",0,0,0,0,0,0,42,"2,8",8 992761 166212,,
L-Men Protein 2GO Chocolate,PT. Nutrifood Indonesia,200,ml,120,"5,581395349",9,"0,72",18,12,4,"2,5",2,"1,5",8,12,21,150,10,7 49921 05001 4,,
Bebelac 1+ Rasa Creamy,PT. Sarana Karya Utama,165,ml,120,"5,581395349",8,"0,64",16,13,4,5,9,4,17,4,7,75,6,8 990057 986315,,
PediaSure Go Rasa Cokelat,PT. Abbott Products Indonesia,110,ml,110,"5,11627907",5,"0,4",10,15,5,4,6,1,4,3,6,45,3,5 099864 016505,,
Cimory Milk Tea,PT. Cisarua Mountain Dairy Tbk.,250,ml,220,"10,23255814",26,"2,08",52,38,12,6,8,4,18,6,10,120,8,8 993200 669776,,
Teh Pucuk Less Sugar,PT. TIRTA FRESINDO JAYA,500,ml,"98,8","4,595348837",25,2,50,25,"8,3",0,0,0,0,0,0,"20,8","2,1",8 996001 600252,,
Teh Pucuk Less Sugar,PT. TIRTA FRESINDO JAYA,350,ml,"65,6","3,051162791","17,5","1,4",35,"17,5","5,8",0,0,0,0,0,0,"14,6","1,5",8 996001 600252,,
Ichitan Green Tea Honey Lemon,PT. Hon Chuan Indonesia,280,ml,100,"4,651162791",22,"1,76",44,24,7,0,0,0,0,0,0,20,1,8 997218 380456,,
Ichitan Green Tea Apple,PT. Hon Chuan Indonesia,280,ml,100,"4,651162791",22,"1,76",44,24,7,0,0,0,0,0,0,25,2,8 997218 380470,,
Ichitan Green Tea Blackcurrant,PT. Hon Chuan Indonesia,280,ml,100,"4,651162791",21,"1,68",42,25,8,0,0,0,0,0,0,20,1,8 997218 380463,,
Ichitan Korean Strawberry Milk,PT. Hon Chuan Indonesia,300,ml,192,"8,930232558","20,4","1,632","40,8","34,8","10,8","4,2",6,"4,2","21,6","3,6",6,252,"16,8",8 997218 380401,,
Ichitan Korean Banana Milk,PT. Hon Chuan Indonesia,300,ml,204,"9,488372093","25,2","2,016","50,4","31,2","9,6","5,4","8,4",3,"14,4","8,4","13,2",180,12,8 997218 380340,,
Ichitan Brown Sugar Milk,PT. Hon Chuan Indonesia,300,ml,168,"7,813953488",18,"1,44",36,"26,4","8,4",6,"9,6","4,8","25,2","2,4","4,8",156,"10,8",8 997218 380159,,
Ichitan Signature Choco,PT. Hon Chuan Indonesia,300,ml,204,"9,488372093","25,2","2,016","50,4",36,"10,8","5,4","8,4","5,4","26,4","2,4","4,8",192,"13,2",8 997218 380005,,
You C1000 Orange Water,PT. Djojonegoro C-1000,500,ml,160,"7,441860465",40,"3,2",80,40,12,0,0,0,0,0,0,60,4,8 997009 510123,,
You C1000 Lemon Water,PT. Djojonegoro C-1000,500,ml,150,"6,976744186",37,"2,96",74,37,11,0,0,0,0,0,0,60,4,8 997009 510116,,
Kopi Kenangan Caffe Latte,PT. Hon Chuan Indonesia,220,ml,154,"7,162790698","19,8","1,584","39,6","29,7","8,8","3,85","5,5","3,3","17,6","1,1","2,2",165,11,8 991749 000043,,
Kopi Kenangan Indonesiano Less Sugar,PT. Hon Chuan Indonesia,220,ml,55,"2,558139535","9,9","0,792","19,8","14,3","4,4",0,0,0,0,"1,1","1,1","71,5","4,4",8 991749 000005,,
Kopi Kenangan Kopi Susu Black Aren,PT. Hon Chuan Indonesia,220,ml,150,"6,976744186",14,"1,12",28,26,8,"3,5",5,"2,5",13,4,6,200,13,8 991749 000012,,
Kopi Kenangan Cappucino,PT. Hon Chuan Indonesia,220,ml,160,"7,441860465",20,"1,6",40,29,9,"3,5",5,"3,5",16,3,5,180,12,8 991749 000029,,
Kapal Api Original Black Coffee,PT. Santos Jaya Abadi,200,ml,100,"4,651162791",18,"1,44",36,23,7,0,0,0,0,1,2,30,2,8 991002 125001,,
Good Day Originale Cappucino,PT. Hon Chuan Indonesia,250,ml,160,"7,441860465",20,"1,6",40,30,9,4,6,4,19,2,3,90,6,8 991002 121089,,
Good Day Fantastic Mocacinno,PT. Hon Chuan Indonesia,250,ml,160,"7,441860465",23,"1,84",46,33,10,"2,5",4,"2,5",13,1,2,80,5,8 991002 121010,,
Good Day Avocado Delight,PT. Hon Chuan Indonesia,250,ml,160,"7,441860465",23,"1,84",46,30,9,4,6,4,21,1,2,75,5,8 991002 121065,,
Good Day Groovy Cookies,PT. Hon Chuan Indonesia,250,ml,160,"7,441860465",24,"1,92",48,32,10,"2,5",4,"2,5",13,1,2,75,5,8 991002 121096,,
ABC Kopi Susu,PT. Hon Chuan Indonesia,200,ml,100,"4,651162791",15,"1,2",30,20,6,2,3,2,11,1,1,90,6,8 991002 122017,,
Luwak White Koffie,PT. ABC Kogen Dairy,220,ml,100,"4,651162791",13,"1,04",26,16,5,2,3,2,10,4,6,120,8,8 994171 102101,,
Caffino Oat Cappuccino,PT. Hon Chuan Indonesia,200,ml,130,"6,046511628",15,"1,2",30,25,8,"2,5",4,"2,5",11,1,2,120,8,8 991998 117684,,
Caffino Milky Espresso,PT. Hon Chuan Indonesia,200,ml,150,"6,976744186",20,"1,6",40,24,7,5,8,5,28,1,2,75,5,8 991998 117585,,
Chocolatos Cokelat,PT. Hon Chuan Indonesia,190,ml,"126,67","5,891627907","20,27","1,6216","40,54","26,6","7,6","1,5",2,"1,5",8,2,3,60,4,8 992775 002155,,
Hilo Calcium Chocolate Taro,PT.  Nutrifood Indonesia,200,ml,70,"3,255813953",14,"1,12",28,16,5,0,0,0,0,1,2,55,4,7 49921 030580,,
Nescafe Coffee Cream,PT. Nestle Indonesia,180,ml,90,"4,186046512",11,"0,88",22,16,5,2,3,"1,5",8,1,1,106,7,8 992696 522961,,
