Nama Produk ,Produksi,Ukuran/Berat,Satuan,Kalori Total (kkal),% AKG_Kalori,Gula Total (gr),Konversi Gula Per Sendok Makan,% Rekomendasi,Karbohidrat Total (gr),% AKG_Karbohidrat,Lemak Total (gr),% AKG_Lemak,Lemak Jenuh (gr),% AKG_Lemak Jenuh,Protein,% AKG_Protein,Garam (mg),% AKG_Garam,Kode Barcode,Link Gambar Barcode,Link Gambar Produk
Lemonilo Chimi Keripik Ubi Jagung Bakar,PT. UNIVERSAL CIPTA PANGAN,41,gr,220,"10,23255814",2,"0,16",4,24,8,14,20,6,30,0,0,160,10,8 997014 021850,,
Lemonilo Chimi Keripik Ubi Jagung Balado,PT. UNIVERSAL CIPTA PANGAN,41,gr,220,"10,23255814",2,"0,16",4,24,8,14,20,6,30,0,0,120,8,8 997014 021867,,
GEMEZ Enaak Snack Mi,PT. SIANTAR TOP Tbk.,16,gr,70,"3,255813953",1,"0,08",2,10,3,"2,5",4,1,6,1,2,200,13,8 886013 700104,,
MOMOGI Keju,PT. Sari Murni Jaya,5,gr,30,"1,395348837",1,"0,08",2,3,1,2,3,1,4,0,0,0,0,8 994075 260037,,
Oops Star Cracker Roasted Sweet Corn,PT. ULTRA PRIMA ABADI,10,gr,45,"2,093023256",1,"0,08",2,7,2,"1,5",2,1,4,1,1,130,9,8 991102 789110,,
Oreo Soft Cake ,PT. MONDELEZ INDONESIA TRADING,16,gr,80,"3,720930233",4,"0,32",8,10,3,4,6,3,15,1,1,15,1,7 622300 335755,,
Nabati Wafer Richeese,PT. KALDU SARI NABATI INDONESIA,37,gr,175,"8,139534884","12,5",1,25,0,0,"6,25",10,"2,5",15,"2,5",5,0,0,8 993175 535878,https://drive.google.com/file/d/1FiCrgbxexOxfrxPDj1KlKdZ7cr2qBmQF/view?usp=drive_link,https://drive.google.com/file/d/1DZG94d4cdNNJilpusunrvTmE3YHKhlVS/view?usp=drive_link
Chitato Sapi Panggang,PT. INDOFOOD FORTUNA MAKMUR,15,gr,80,"3,720930233",0,0,0,8,3,"4,5",7,2,10,1,2,85,6,0 89686 59801 8,https://drive.google.com/file/d/1FfNkL0AuHl__casldmepPcvfsq01hfPC/view?usp=drive_link,https://drive.google.com/file/d/1EnrbVJDIoK4lnYU2OVWTQ_N2F4aYy4TQ/view?usp=drive_link
Chitato Sapi Panggang,PT. INDOFOOD FORTUNA MAKMUR,35,gr,220,"10,23255814",0,0,0,22,6,12,18,6,28,4,6,230,16,0 89686 59802 5,,
Chitato Ayam Barbekiu,PT. INDOFOOD FORTUNA MAKMUR,65,gr,"357,5","16,62790698","3,25","0,26","6,5","35,75","9,75","22,75","32,5","9,75","45,5","3,25","6,5","341,25","22,75",0 89686 59818 6,,
Chitato Lite Rumput Laut,PT. INDOFOOD FORTUNA MAKMUR,68,gr,374,"17,39534884","3,4","0,272","6,8","37,4","13,6","20,4",34,"10,2","47,6","3,4","6,8",289,"20,4",0 89686 73203 0,,
Better Sandwich Biscuit,PT. MAYORA INDAH Tbk.,27,gr,140,"6,511627907",9,"0,72",18,18,5,7,10,4,21,2,3,75,5,8 996001 317020,https://drive.google.com/file/d/1FEXRxJ8emnfW1D0J2_IKNGTzMfvgqzdn/view?usp=drive_link,https://drive.google.com/file/d/1DwkgQJTCHBY5WZsyKczP-yPlRTp_6frX/view?usp=drive_link
Superstar Wafer,PT. MAYORA INDAH Tbk. ,"12,5",gr,60,"2,790697674",4,"0,32",8,8,2,"3,5",5,"2,5",13,1,1,35,1,8 996001 355046,https://drive.google.com/file/d/1FOdL-W9LksvwUzbbsjWgJYiKuAVRUMJv/view?usp=drive_link,https://drive.google.com/file/d/1DqbX-8EKxRb0tIl-iL_e-FVB1N7ASAUt/view?usp=drive_link
Nextar Chocolate Pie,PT. KALDU SARI NABATI INDONESIA,24,gr,110,"5,11627907",6,"0,48",12,15,5,5,7,"3,5",17,1,2,50,3,8 993175 563413,https://drive.google.com/file/d/1FRBU5WR4BJFuRntv868ny2JUXDevmxlk/view?usp=drive_link,https://drive.google.com/file/d/1DenPDhlaRObH7a8e--h3ceJ-J8S0eKr9/view?usp=drive_link
Happy Tos Original,PT. SINAR KENCANA AGUNG,25,gr,130,"6,046511628",1,"0,08",2,16,5,7,10,3,14,2,3,105,7,8 993027 133207,https://drive.google.com/file/d/1FhMvcnmidcE46jMnsx-rD6a02_HgN5Qh/view?usp=drive_link,https://drive.google.com/file/d/1Da-cBjvozTV1WWE566r-0GckRsn8-3tg/view?usp=drive_link
Astor Chocolate,PT. MAYORA INDAH Tbk.,150,gr,720,"33,48837209",60,"4,8",120,108,30,30,42,12,60,12,18,150,12,8 886001 026025,https://drive.google.com/file/d/1aFgErA7QTtcmMoAdD4eMgoc1YHaAorMg/view?usp=sharing,https://drive.google.com/file/d/1sv6fR4YTB2RoGJVzRRlgO8e3rxcGmpBN/view?usp=sharing
Pocky Chocolate,PT. GLICO MANUFACTURING INDONESIA,47,gr,220,"10,23255814",14,"1,12",28,32,10,8,12,7,38,4,6,90,6,8 990044 000000,https://drive.google.com/file/d/1jHKw5rx9kUd3qLghZsuu3dY4jZBzRNMf/view?usp=sharing,https://drive.google.com/file/d/1aObDACCLLbx5L5kAlETYP_lmi3vABHNi/view?usp=sharing
Chiki Balls Crafty Cheese,PT. INDOFOOD FORTUNA MAKMUR,55,gr,275,"12,79069767","5,5","0,44",11,33,11,"16,5",22,"5,5",33,"5,5","5,5",495,33,0 89686 59004 3,https://drive.google.com/file/d/1n9sIpFHQ7owfWtNExZPgqEp55E4yAjgC/view?usp=sharing,https://drive.google.com/file/d/1BFKrNm4__ksinmCk16zh6xns2Uty5m_o/view?usp=sharing
Chiki Balls Curious Choco,PT. INDOFOOD FORTUNA MAKMUR,55,gr,250,"11,62790698",10,"0,8",20,35,10,"12,5",20,5,30,5,5,25,5,0 89686 59101 9,https://drive.google.com/file/d/1pdPuhJg2CuO9yaEfY89V6RWc269yq_re/view?usp=sharing,https://drive.google.com/file/d/1sfo4IaKXcYDNrK_qNAdroSTVF6_ZWHZR/view?usp=sharing
Khong Guan Saltcheese Combo,PT. KHONG GUAN BISCUIT FACTORY INDONESIA LTD.,175,gr,800,"37,20930233",50,4,100,110,30,40,60,20,100,10,20,500,30,8 888166 607392,https://drive.google.com/file/d/1xPt9ZMEm7lik8CHGmXVyXRZhIQzPHYYt/view?usp=sharing,https://drive.google.com/file/d/1k0BbvlpOFxMK4pp9nYwRm4X14Hg8iR8w/view?usp=sharing
Ovaltine Chocolate Malt Cookies,PT. MONDE MAHKOTA BISCUIT,120,gr,560,"26,04651163",32,"2,56",64,80,20,24,36,12,60,8,16,460,32,7 612100 062890,https://drive.google.com/file/d/1QDBh9TOxSzAjc2xk7zRUAHd4sthQbOga/view?usp=sharing,https://drive.google.com/file/d/1w9NnnBWiZsDlWhxBv6Y-qjeh7a9w2CdB/view?usp=sharing
Sojoy Almond & Chocolate,PT. AMERTA INDAH OTSUKA,30,gr,160,"7,441860465",6,"0,48",12,12,4,10,15,4,20,5,9,35,2,8 997035 600928,https://drive.google.com/file/d/1_UvRp4C9JOBkliGeAHdwWGQlqOBs5tg5/view?usp=sharing,https://drive.google.com/file/d/1qJVkml4CxyGrtq1TmMewN9cb5ctDOqLd/view?usp=sharing
Sari Roti Dorayaki Chocolate,PT. NIPPON INDOSARI CORPINDO Tbk.,55,gr,170,"7,906976744",18,"1,44",36,32,10,"3,5",5,"1,5",8,4,6,115,8,8 992907 952549,https://drive.google.com/file/d/1tX84wTmcoGKxKmzGvYqnhuWUubZXLGrd/view?usp=sharing,https://drive.google.com/file/d/12Y7xnJMYaXNDbvP9yowosmWYt0dfPdN-/view?usp=sharing
Chitato Lite Salmon Teriyaki,PT. Indofood Fortuna Makmur,60,gr,330,"15,34883721",3,"0,24",6,33,9,18,30,15,75,3,6,165,12,0 896867 32078,,
Apetito BBQ,PT. MAYORA INDAH Tbk. ,"18,5",gr,200,"9,302325581","2,5","0,2",5,0,0,"7,5",10,0,0,0,0,"337,5",9,8 996001 313695,https://drive.google.com/file/d/1FBDah8Rg-iLtL-HAyhNsra4p3FdhZCJ2/view?usp=drive_link,https://drive.google.com/file/d/1Dx-hXT91ghuvz4xrSoCGjwOOwIJ8CY0h/view?usp=drive_link
Hello Panda Strawberry,PT. MEIJI FOOD INDONESIA,25,gr,195,"9,069767442","10,5","0,84",21,0,0,9,"13,5","4,5","22,5",3,"4,5","112,5","7,5",8 994504 102327,https://drive.google.com/file/d/1Eqpt2GJ2AhzqaV5xe8u19hq9eGNM6MiL/view?usp=drive_link,https://drive.google.com/file/d/1E09prJhImGNtSqgEQDAWPduj8U1L5okH/view?usp=drive_link
Briko Milk Vanilla,PT. PERUSAHAAN INDUSTRI CERES,30,gr,750,"34,88372093",10,"0,8",20,105,30,30,45,20,105,10,15,275,20,8 991001 780430,https://drive.google.com/file/d/1EsIe4tdRz-a6_j8WbnJ0JTPy_7i_RZgn/view?usp=drive_link,https://drive.google.com/file/d/1EAYv-K7cV0xpk7UyAUVeDRYDHNYKj9qY/view?usp=drive_link
Slai O'lai Nanas,PT. MAYORA INDAH Tbk. ,192,gr,880,"40,93023256",48,"3,84",96,0,0,28,40,96,56,8,16,40,24,8 996001 304020,https://drive.google.com/file/d/1EuTOkXhm5XHo8ogsV-ifogKX0nv3fqxn/view?usp=drive_link,https://drive.google.com/file/d/1E3iw1fGuw_nCXgMgz8hJNGcQm8_0lI_b/view?usp=drive_link
GuriBee Layers,PT. CALBEE WINGS FOOD,15,gr,360,"16,74418605","4,5","0,36",9,45,"13,5",18,27,9,45,"4,5","4,5",540,36,8 998866 202978,https://drive.google.com/file/d/1F1oiaUOjaKDtITFmyoh20WkCfcpIXd2i/view?usp=drive_link,https://drive.google.com/file/d/1EH5EGLRrPY3awwry-hVhRlJlL9JpcDsL/view?usp=drive_link
Tic Tic Crunchy Stick,PT. SIANTAR TOP Tbk. ,15,gr,350,"16,27906977",5,"0,4",10,55,15,"12,5",20,5,30,5,5,550,35,8 994834 001192,https://drive.google.com/file/d/1F5KYPC6yFLKZ-SsTWXbGi7cOrP5qzSrG/view?usp=drive_link,https://drive.google.com/file/d/1E_PuOFKcubmJS-ugNqV0tLcRfgFzNi8K/view?usp=drive_link
Chitato Lite Rumput Laut,PT. Indofood Fortuna Makmur,14,gr,80,"3,720930233",1,"0,08",2,8,2,"4,5",7,2,10,1,2,60,4,0 89686 73200 9,,
Nabati Wafer Krim Kelapa Pandan,PT. KALDU SARI NABATI INDONESIA,6,gr,30,"1,395348837",2,"0,16",4,4,1,1,2,"0,5",3,0,0,15,1,8 993175 562485,,
Tini Wini Biti Asin,PT. KONIMEX,18,gr,90,"4,186046512",1,"0,08",2,12,4,"3,5",6,"1,5",9,1,2,150,10,8 998694 111121,,
Tini Wini Biti Mysterious Black,PT. KONIMEX,30,gr,150,"6,976744186","4,5","0,36",9,"19,5",6,"6,75","10,5",3,15,"1,5",3,165,"10,5",8 998694 110988,,
Tini Wini Biti Jagung Manis,PT. KONIMEX,30,gr,135,"6,279069767",6,"0,48",12,24,"7,5","3,75",6,"2,25",9,"1,5",3,195,"13,5",8 998694 110285,,
Choco Mania,PT. KONIMEX,69,gr,330,"15,34883721",18,"1,44",36,42,12,15,24,"7,5",42,3,6,315,21,8 998694 120208,,
Chocolatos RICH Coated Wafer Roll,PT. GARUDA FOOD PUTRA PUTRI JAYA Tbk.,19,gr,80,"3,720930233",5,"0,4",10,10,3,4,6,2,11,1,1,15,1,8 992775 005897,,
Roma Malkist Sweet Crackers,PT. MAYORA INDAH Tbk. ,21,gr,80,"3,720930233",2,"0,16",4,13,4,3,4,1,6,2,3,95,7,8 996001 302088,,
Regal Marie Duo Chocolate,CV. JAYA ABADI,20,gr,90,"4,186046512",5,"0,4",10,14,4,"3,5",5,2,9,1,2,85,6,8 993039 242577,,
Regal Marie Duo Vanilla,CV. JAYA ABADI,20,gr,90,"4,186046512",4,"0,32",8,14,4,"3,5",6,2,10,1,2,70,5,8 993039 242560,,
Oishi Pillow Chese Flavor,PT. Liwayway,12,gr,60,"2,790697674",3,"0,24",6,9,3,2,3,1,5,1,1,55,4,8 997004 306295,,
French Fries 2000,PT. Siantar Top Tbk.,62,gr,279,"12,97674419","12,4","0,992","24,8","43,4","12,4","12,4","18,6","6,2","24,8",0,0,620,"43,4",8 886013 223207,https://drive.google.com/file/d/1Fwt3U6QoJU_rZQGT-uLZQzPxXxcKq_1D/view?usp=drive_link,https://drive.google.com/file/d/1Eol_8hWxvyJM_iXpBuvegJ70OlfVFYGw/view?usp=drive_link
Wafello Choco Blast,PT. MAYORA INDAH Tbk. ,15,gr,80,"3,720930233",3,"0,24",6,10,3,4,6,"2,5",12,1,2,40,3,8 996001 350522,,
Beng-beng,PT. MAYORA INDAH Tbk.,20,gr,100,"4,651162791",7,"0,56",14,13,4,5,7,"3,5",17,1,2,40,3,8 886001 038011,,
TOP black in white,PT. PERUSAHAAN INDUSTRI CERES,9,gr,45,"2,093023256",3,"0,24",6,6,2,"2,5",3,"1,5",7,0,0,20,1,8 991001 242983,,
TOP Chocolate,PT. PERUSAHAAN INDUSTRI CERES,9,gr,45,"2,093023256",4,"0,32",8,6,2,"2,5",4,2,10,0,0,15,1,8 991001 242013,,
Gery Snack Bantal Cokelat,PT. GARUDA FOOD PUTRA PUTRI JAYA Tbk.,22,gr,105,"4,88372093","4,5","0,36",9,"13,5","4,5","5,25","7,5","2,25",12,"1,5","1,5",22,"1,5",8 992775 318201,,
Kejucake,PT. MONDELEZ INDONESIA TRADING,16,gr,60,"2,790697674",5,"0,4",10,9,3,2.5,4,1,6,1,2,100,7,7 622300 405588,,
Nabati Wafer Keju,PT. KALDU SARI NABATI INDONESIA,15,gr,70,"3,255813953",5,"0,4",10,11,3,"2,5",4,1,6,1,2,65,4,8 993175 541626,,
Marie Duo Krim Vanila,PT. JAYA ABADI,20,gr,90,"4,186046512",4,"0,32",8,14,4,"3,5",6,2,10,1,2,70,5,8 993039 242560,,
Nabati Big Roll's Keju,PT. KALDU SARI NABATI INDONESIA,12,gr,60,"2,790697674",4,"0,32",8,9,3,2,3,"1,5",8,0,0,25,2,8 993175 552660,,
Nyam Nyam Fun Play,PT. ARNOTTS INDONESIA,11,gr,50,"2,325581395",4,"0,32",8,8,2,2,3,1,4,1,1,5,0,8 994755 020425,,
Pocky Cookies & Cream,PT. GLICO MANUFACTURING INDONESIA,20,gr,100,"4,651162791",7,"0,56",14,14,4,"4,5",7,4,21,1,2,30,2,8 990044 000086,,
Pocky Milk Flavour,PT. GLICO MANUFACTURING INDONESIA,39,gr,200,"9,302325581",8,"0,64",16,30,8,8,12,6,32,4,4,90,6,8 851019 600291,,
Floaty Original Rasa Bawang,PT. Alur Cerita Pangan,60,gr,270,"12,55813953",9,"0,72",18,45,12,"7,5",12,3,15,3,6,270,18,8 992982 800315,,
Wonhae Topoki Snack Creamy Rose,PT. Citra Food Abadi,80,gr,320,"14,88372093",8,"0,64",16,64,20,6,8,2,12,8,12,560,40,8 992982 800063,,
Oishi Panchos Rasa Cabe Pedas,PT. Liwayway,140,gr,700,"32,55813953",7,"0,56",14,84,28,35,56,"17,5",84,7,14,525,30,8 997004 301993,,
Nissin Longer Stick Biscuits,PT. NISSIN BISCUITS INDONESIA,90,gr,450,"20,93023256",15,"1,2",30,63,21,18,24,12,63,6,12,255,18,8 888166 339149,,
Chiki Twist Flaming Hot,PT. Indofood Fortuna Makmur,75,gr,450,"20,93023256","7,5","0,6",15,45,15,"26,25","37,5","11,25",60,"7,5","7,5","187,5",15,0 89686 72307 6,,
Chiki Twist Jagung Bakar Pedas Manis,PT. Indofood Fortuna Makmur,65,gr,390,"18,13953488","6,5","0,52",13,39,13,"22,75","32,5","16,25","84,5","6,5","6,5",455,"32,5",0 89686 72311 3,,
Chiki Puffs Cheddar Cheese Flavour,PT. Indofood Fortuna Makmur,60,gr,300,"13,95348837",6,"0,48",12,36,12,18,24,6,36,6,6,300,18,0 89686 73300 6,,
Cheetos Rasa Keju,PT. Perico Indonesia Food & Beverages,120,gr,720,"33,48837209",0,0,0,60,24,42,60,18,108,12,12,720,48,8 994462 790116,,
Cheetos Rasa Jagung Bakar Keju,PT. Perico Indonesia Food & Beverages,120,gr,720,"33,48837209",0,0,0,72,24,42,60,18,108,12,12,420,24,8 994462 790109,,
Oishi Poppy Pop Rasa Jagung Bakar,PT. Liwayway,130,gr,650,"30,23255814",13,"1,04",26,78,26,39,12,13,78,13,13,845,52,8 997004 308602,,
Monde Mini Pie,PT. JADI ABADI CORAK BISCUIT FACTORY INDONESIA SURABAYA,50,gr,280,"13,02325581",2,"0,16",4,26,8,18,28,9,44,4,6,280,18,8 888166 607187,,
Chocolito Rich Choco,PT. Konimex,38,gr,180,"8,372093023",12,"0,96",24,26,8,8,12,5,26,2,4,180,12,8 998694 121038,,
Chocolito Original,PT. Konimex,38,gr,180,"8,372093023",12,"0,96",24,26,8,8,12,5,24,2,4,190,12,8 998694 121021,,
Bringz Lumier Kukis Rasa Butter,PT. Konimex,100,gr,500,"23,25581395",15,"1,2",30,65,20,25,40,"12,5",70,5,10,400,25,8 998694 121397,,
Biskuat Bites Original,PT. Mega Global Food Industry,35,gr,160,"7,441860465",8,"0,64",16,25,8,5,8,"2,5",12,2,4,150,10,7 622202 213526,,
Hampton Shortbread Chocolate,PT. UTAMA PANGAN SENTOSA,100,gr,600,"27,90697674",20,"1,6",40,60,20,35,50,25,120,10,10,300,20,8 994548 181678,,
Tic Tac Rasa Sapi Panggang,PT. Dua Kelinci,80,gr,400,"18,60465116",0,0,0,56,16,18,28,8,40,0,0,840,56,8 995077 601514,,
Tic Tac Rasa Mix,PT. Dua Kelinci,80,gr,416,"19,34883721",0,0,0,"54,4",16,"19,2","28,8","9,6","44,8","3,2","6,4",640,"41,6",8 995077 603433,,
Tic Tac Rasa Ayam Bawang,PT. Dua Kelinci,80,gr,440,"20,46511628",0,0,0,48,16,24,36,10,52,0,0,600,40,8 995077 602405,,
Kacang Oven IYES Rasa Bawang,PT. Manohara Asri,90,gr,480,"22,3255814",16,"1,28",32,60,20,20,36,6,32,16,28,600,40,8 990019 000356,,
Kacang Oven IYES Rasa Jagung Bakar,PT. Manohara Asri,90,gr,520,"24,18604651",16,"1,28",32,56,16,28,40,8,36,16,28,216,16,8 990019 000370,,
Qtela Singkong Barbeque,PT. Indofood Fortuna Makmur,60,gr,300,"13,95348837",3,"0,24",6,42,12,15,21,9,42,0,0,285,18,0 89686 61161 8,,
Siip Bite Jagung Bakar,PT. KALDU SARI NABATI INDONESIA,50,gr,300,"13,95348837",5,"0,4",10,25,10,20,30,10,45,0,0,200,15,8 993175 538909,,
Siip Bite Richoco,PT. KALDU SARI NABATI INDONESIA,50,gr,225,"10,46511628",15,"1,2",30,35,10,10,15,5,20,0,0,200,15,8 993175 538862,,
Taro Seaweed,PT. Putra Taro Paloma,32,gr,120,"5,581395349",2,"0,16",4,22,6,3,4,1,8,2,4,460,30,8 999999 000189,,
Taro Cowboy Steak,PT. Putra Taro Paloma,32,gr,140,"6,511627907",2,"0,16",4,22,6,2,10,2,10,2,4,300,20,8 999999 002497,,
Taro Potato Barbecue,PT. Putra Taro Paloma,32,gr,120,"5,581395349",2,"0,16",4,24,8,3,4,1,6,2,4,340,22,8 999999 000066,,
Oishi Pillows Isi Cokelat,PT. Liwayway,100,gr,500,"23,25581395","33,33333333","2,666666667","66,66666667","66,66666667",25,"16,66666667",25,"8,333333333","41,66666667","8,333333333","8,333333333","208,3333333","16,66666667",8 997004 301108,,
Oishi Sponge Crunch Ubi,PT. Liwayway,100,gr,"555,5555556","25,83979328","16,66666667","1,333333333","33,33333333","55,55555556","16,66666667","33,33333333",50,25,"133,3333333","5,555555556","5,555555556","138,8888889","11,11111111",8 997004 310063,,
Oishi Sponge Crunch Stroberi,PT. Liwayway,100,gr,"555,5555556","25,83979328","22,22222222","1,777777778","44,44444444","61,11111111","16,66666667","33,33333333","44,44444444","27,77777778","144,4444444","5,555555556","5,555555556","138,8888889","11,11111111",8 997004 301436,,
JETZ Sweet Stick Chocolate,PT. Indofood Fritolay Makmur,65,gr,325,"15,11627907","45,5","3,64",91,"45,5",13,"14,625","22,75","6,5","35,75","3,25","3,25","243,75","16,25",0 89686 60500 6,,
Oishi Rin-bee,PT. Liwayway,60,gr,270,"12,55813953",3,"0,24",6,45,15,9,12,"4,5",18,3,6,600,42,8 997004 301146,,
Oishi Rasa Udang Pedas,PT. Liwayway,60,gr,270,"12,55813953",6,"0,48",12,45,15,"7,5",12,3,18,3,6,690,48,8 997004 301184,,
Twistko Roasted Corn,PT. Siantar Top Tbk.,70,gr,350,"16,27906977",7,"0,56",14,49,14,"17,5",28,7,35,7,7,385,28,8 886013 221203,,
Chacha Peanut Milk Chocolate,PT. Perusahaan Industri Ceres,35,gr,"192,5","8,953488372","17,5","1,4",35,"19,25","5,25","10,5","15,75","4,375",21,"3,5",7,"8,75",0,8 991001 501097,,
Chacha Milk Chocolate,PT. Perusahaan Industri Ceres,35,gr,175,"8,139534884",21,"1,68",42,"26,25","8,75","6,125","8,75","3,5","19,25","1,75","3,5","26,25","1,75",8 991001 502254,,
Kinder Bueno,Ferrero SpA,43,gr,240,"11,1627907",16,"1,28",32,20,6,16,24,7,24,4,6,40,2,8 000500 066027,,
Nyam Nyam Pop Stix Choclate,PT. Arnott's Indonesia,48,gr,240,"11,1627907",21,"1,68",42,36,12,9,15,"4,5",24,3,12,120,9,8 994755 020487,,
Nyam Nyam Smiley Sandwich Chocolate,PT. Arnott's Indonesia,45,gr,"214,2857143","9,966777409","16,07142857","1,285714286","32,14285714","32,14285714","10,71428571","9,375","13,39285714","5,357142857","24,10714286","2,678571429","2,678571429","147,3214286","10,71428571",8 994755 020531,,
Oishi Tater Thins Potato Snack Truffle,PT. Liwayway,100,gr,550,"25,58139535",5,"0,4",10,60,20,30,45,"12,5",70,5,10,900,60,8 997004 316058,,
Milk Life Cokelat,PT. Global Dairi Alami,200,ml,150,"6,976744186",19,"1,52",38,23,7,"4,5",7,3,15,5,8,65,4,8 991999 111445,,
Milk Life Classic Chocolate,PT. Global Dairi Alami,115,ml,90,"4,186046512",11,"0,88",22,13,4,"2,5",4,"1,5",8,3,5,35,2,8 991999 110042,,
Milk Life Cookie Crush,PT. Global Dairi Alami,200,ml,170,"7,906976744",21,"1,68",42,23,7,6,9,4,19,6,9,95,6,8 991999 117041,,
Dancow Forti Gro Milky Shake,PT. Nestle Indonesia,180,ml,130,"6,046511628",15,"1,2",30,20,6,5,7,"2,5",11,3,5,125,8,8 992696 526822,,
Dancow Forti Gro Cokelat,PT. Nestle Indonesia,110,ml,70,"3,255813953",9,"0,72",18,11,3,"2,5",4,1,6,2,3,75,5,8 992696 422735,,
Dancow Forti Gro Vanila,PT. Nestle Indonesia,110,ml,70,"3,255813953",10,"0,8",20,10,3,2,3,1,5,2,4,70,5,8 992696 523937,,
Dancow Forti Gro Stroberi,PT. Nestle Indonesia,110,ml,70,"3,255813953",10,"0,8",20,10,3,"2,5",3,1,5,2,4,70,5,8 992696 423749,,
Frisian Flag Nutribrain Omega Cokelat,PT. Frisian Flag Indonesia,110,ml,70,"3,255813953",9,"0,72",18,9,3,3,4,"1,5",7,2,3,60,4,8 992753 182206,,
Frisian Flag Nutribrain Omega Stroberi,PT. Frisian Flag Indonesia,110,ml,70,"3,255813953",9,"0,72",18,10,3,"2,5",4,"1,5",7,2,3,85,6,8 992753 184002,,
Frisian Flag Full Cream,PT. Frisian Flag Indonesia,225,ml,130,"6,046511628",10,"0,8",20,10,3,7,11,"4,5",24,7,11,90,6,8 992753 033744,,
Frisian Flag Low Fat French Vanilla,PT. Frisian Flag Indonesia,225,ml,110,"5,11627907",16,"1,28",32,16,4,"2,5",4,"1,5",8,6,10,90,6,8 992753 018819,,
Frisian Flag  Swiss Chocolate,PT. Frisian Flag Indonesia,225,ml,150,"6,976744186",19,"1,52",38,20,6,5,8,"3,5",19,5,8,150,10,8 992753 033720,,
Frisian Flag Low Fat Belgian Chocolate,PT. Frisian Flag Indonesia,225,ml,130,"6,046511628",21,"1,68",42,22,7,"2,5",4,"1,5",8,6,10,90,6,8 992753 018796,,
Frisian Flag Sweet Delight,PT. Frisian Flag Indonesia,225,ml,150,"6,976744186",19,"1,52",38,19,6,6,8,3,15,6,9,80,5,8 992753 700905,,
Frisian Flag Coconut Delight,PT. Frisian Flag Indonesia,225,ml,150,"6,976744186",16,"1,28",32,20,6,6,9,3,16,6,9,90,6,8 992753 700103,,
Frisian Flag Energo+ Matcha,PT. Frisian Flag Indonesia,225,ml,130,"6,046511628",21,"1,68",42,22,7,"2,5",4,"1,5",9,5,8,115,8,8 992753 723294,,
Indomilk Haenam Goguma,PT. Indolakto,180,ml,120,"5,581395349",16,"1,28",32,17,5,"3,5",5,"2,5",12,4,6,70,5,8 993007 007177,,
Indomilk Seoul Banana,PT. Indolakto,180,ml,120,"5,581395349",16,"1,28",32,17,5,"3,5",5,"2,5",13,4,6,80,5,8 993007 005975,,
Indomilk Gangneung Dalgona Coffee,PT. Indolakto,180,ml,120,"5,581395349",15,"1,2",30,19,6,"2,5",5,"2,5",13,4,6,75,5,8 993007 007047,,
Indomilk Kids Vanila,PT. Indolakto,115,ml,80,"3,720930233",10,"0,8",20,12,4,"2,5",4,2,9,3,5,45,3,8 993007 000215,,
Indomilk Kids Full Cream,PT. Indolakto,115,ml,70,"3,255813953",5,"0,4",10,6,2,"3,5",5,2,10,3,5,60,4,8 993007 006347,,
Indomilk Kids Pisang,PT. Indolakto,115,ml,70,"3,255813953",9,"0,72",18,9,3,"2,5",4,"1,5",8,2,4,45,3,8 993007 007276,,
Indomilk Kids Cokelat,PT. Indolakto,115,ml,80,"3,720930233",11,"0,88",22,12,4,"2,5",4,"1,5",8,3,5,35,3,8 993007 000239,,
Greenfields Full Cream,PT. Greenfields,200,ml,130,"6,046511628",9,"0,72",18,9,3,7,11,"4,5",23,6,11,70,5,8 993351 124001,,
Greenfields Chocolate,PT. Greenfields,105,ml,80,"3,720930233",10,"0,8",20,12,4,2,3,"1,5",7,3,5,30,2,8 993351 122946,,
Greenfields Stroberi,PT. Greenfields,250,ml,180,"8,372093023",23,"1,84",46,27,8,5,8,3,16,7,12,75,5,8 993351 124209,,
Greenfields Chocolate,PT. Greenfields,250,ml,190,"8,837209302",25,2,50,28,9,5,8,3,15,8,13,75,5,8 993351 122618,,
Diamond Milk Marshmallow,PT. Diamond Cold Storage,125,ml,110,"5,11627907",12,"0,96",24,17,5,3,4,"1,5",8,3,5,55,4,8 999898 976363,,
Diamond Milk Bubble Gum,PT. Diamond Cold Storage,125,ml,90,"4,186046512",11,"0,88",22,12,4,"3,5",5,"2,5",13,3,5,80,5,8 999898 977452,,
Diamond Milk Marshmallow,PT. Diamond Cold Storage,200,ml,140,"6,511627907",18,"1,44",36,20,6,4,6,3,12,4,8,90,6,8 999898 976356,,
Diamond Milk Bubble Gum,PT. Diamond Cold Storage,200,ml,140,"6,511627907",18,"1,44",36,18,6,6,8,4,20,4,8,130,8,8 999898 977469,,
Diamond Milk Chocolate,PT. Diamond Cold Storage,200,ml,180,"8,372093023",22,"1,76",44,28,8,4,6,3,14,6,12,130,8,8 999898 962564,,
Ultra Milk Low Fat Chocolate,PT. ULTRAJAYA MILK INDUSTRY & TRADING Co. Tbk.,250,ml,"162,5","7,558139535","26,25","2,1","52,5",25,"7,5","2,5","3,75","1,875",10,"8,75",15,"156,25",10,8 998009 011214,,
Ultra Milk Low Fat,PT. ULTRAJAYA MILK INDUSTRY & TRADING Co. Tbk.,250,ml,"112,5","5,23255814","11,25","0,9","22,5","13,75","3,75","3,125","3,75","1,875",10,"8,75","13,75",125,"8,75",8 998009 010262,,
